IT TERM;TARGET HYPOTHESIS (DE SOUTH TYROL);IT EXAMPLE;Context DE
sostituzione fedecommissaria;Nacherbschaft;L'istituito ha il godimento e la libera amministrazione dei beni che formano oggetto della sostituzione [...].;[D]er Erblasser kann [...] anordnen, daß die Verfügung bis zum Eintritt eines bestimmten Ereignisses in der Person eines Miterben oder, falls er eine Nacherbfolge oder ein Vermächtnis anordnet, bis zum Eintritte der Nacherbfolge oder bis zum Anfalle des Vermächtnisses gelten soll [...].
licenza;Kündigung;Quando l'affitto ha per oggetto un fondo rustico, la licenza deve essere data col preavviso di sei mesi [...].;Soweit das Mietverhältnis nicht befristet ist, endet es [...] durch Kündigung einer Vertragspartei.
esposizione dei fatti;Sachverhaltsdarstellung;La denuncia di danno contiene una precisa e documentata esposizione dei fatti e delle violazioni commesse […].;In der Regel kommt es nur in dem Umfang zu einer Beweisaufnahme, in dem eine unterschiedliche Sachverhaltsdarstellung zwischen Klägerseite und Beklagtenseite einen Unterschied für die Fallentscheidung macht.
indizio;Anzeichen;L'esistenza di un fatto non può essere desunta da indizi a meno che questi siano gravi, precisi e concordanti.;Der Indizien- oder Anzeichenbeweis ist ein Beweis, bei dem von einer mittelbar bedeutsamen Tatsache auf eine unmittelbar entscheidungserhebliche Tatsache geschlossen wird. Das Indiz kann durch persönliche oder sachliche Beweismittel festgestellt werden.
punto di accesso;Zugangspunkt zu passiv gebäudeintern Netzkomponente;[G]li operatori di rete hanno il diritto di installare la loro rete a proprie spese, fino al punto di accesso.;
libro dei soci;Mitgliedsbuch;Il trasferimento delle quote ha effetto di fronte alla società dal momento dell'iscrizione nel libro dei soci.;
nome immaginario;Phantasiename;A costituire il reato si è ritenuto sufficiente in giurisprudenza l'attribuzione di un nome anche immaginario.;[S]etzt sich das homöopathische Arzneimittel aus mehreren Ursubstanzen zusammen, kann die wissenschaftliche Bezeichnung in der Etikettierung durch einen Phantasienamen ersetzt werden.
premeditazione;Überlegung;Si applica la pena dell'ergastolo se il fatto preveduto dall'articolo 575 è commesso [...] con premeditazione.;Weder zulässig noch sinnvoll erscheint es auch, das 1941 abgeschaffte Merkmal der Überlegung [...] wieder zum - sei es auch nur kumulativen Abgrenzungsfaktor - zu machen.
bilinguismo;Zweisprachigkeit;Al personale non docente si applica la normativa vigente nella Provincia di Bolzano in materia di bilinguismo.;Zur Mitte des 20. Jahrhunderts erwuchs daraus in der Konsequenz der Übergang von der sorbischen Einsprachigkeit zur sorbisch-deutschen Zweisprachigkeit.
carico di incendio;Brandlast;"Il carico di incendio è espresso in MJ; convenzionalmente 1 MJ è assunto pari a 0,057 kg di legna equivalente.";
esame incrociato;Kreuzverhör;L'esame incrociato si articola nei tre momenti fondamentali dell'esame diretto, del controesame e del riesame.;Kreuzverhör: In der Praxis wird von der Möglichkeit dieser Art des Verhörs, die an den anglo-amerikanischen Strafprozeß anknüpft, so gut wie kein Gebrauch gemacht. [...] Ein informelles Kreuzverhör in der Weise, daß der Vorsitzende unmittelbar oder alsbald nach Entgegennahme des Berichts des Zeugen [...] zunächst den Staatsanwalt und den Verteidiger Fragen stellen läßt (§ 240 II) und seinerseits erst anschließend nochmals fragt, falls das erforderlich ist, kann in geeigneten Fällen zweckmäßig sein und ist jedenfalls nicht unzulässig [...].
cosa venduta;verkauft Sache;Il venditore deve pure consegnare i titoli e i documenti relativi alla proprietà e all'uso della cosa venduta.;Versendet der Verkäufer auf Verlangen des Käufers die verkaufte Sache nach einem anderen Orte als dem Erfüllungsort, so geht die Gefahr auf den Käufer über, sobald der Verkäufer die Sache dem Spediteur, dem Frachtführer oder der sonst zur Ausführung der Versendung bestimmten Person oder Anstalt ausgeliefert hat.
infortunio in missione e/o trasferta;Dienstwegeunfall;L'infortunio in missione e/o trasferta è indennizzabile come evento in attualità di lavoro e non in itinere[.];In Deutschland werden Wege- und Dienstwegeunfälle wie Arbeitsunfälle behandelt und sind [...] den Arbeitsunfällen gleichgestellt.
acquisto a non domino;Erwerb von Nichteigentümer;Il principio possesso vale titolo si applica anche in caso di acquisto a non domino di usufrutto, uso e pegno.;Erwerb vom Nichteigentümer ist zunächst möglich, wenn der Eigentümer der Verfügung eines Nichtberechtigten zustimmt (§185).
revoca della procura;Widerruf der Vollmacht;Le modificazioni e la revoca della procura devono essere portate a conoscenza dei terzi con mezzi idonei [...].;
linea;Linie;Se però gli ascendenti non sono di eguale grado, l'eredità è devoluta al più vicino senza distinzione di linea.;Die Linie und die Grade der Schwägerschaft bestimmen sich nach der Linie und dem Grad der sie vermittelnden Verwandtschaft.
linea della parentela;Linie;Se però gli ascendenti non sono di eguale grado, l'eredità è devoluta al più vicino senza distinzione di linea.;Die Linie und die Grade der Schwägerschaft bestimmen sich nach der Linie und dem Grad der sie vermittelnden Verwandtschaft.
patto sociale di limitazione della responsabilità;Haftungsbeschränkung durch Gesellschaftervereinbarung;[È] ammesso il patto sociale di limitazione della responsabilità o [...] di esclusione della solidarietà [...].;
prenome;Vorname;Ogni persona ha diritto al nome che le è per legge attribuito. Nel nome si comprendono il prenome e il cognome.;Das Familiengericht kann auf Antrag des Annehmenden mit Einwilligung des Kindes mit dem Ausspruch der Annahme [...] Vornamen des Kindes ändern oder ihm einen oder mehrere neue Vornamen beigeben, wenn dies dem Wohl des Kindes entspricht [...].
vaccino inattivato;Totimpfstoff;Il vaccino antinfluenzale non interferisce con la risposta immune ad altri vaccini inattivati o vivi attenuati.;Seit Mai 2018 steht ein neuartiger, inaktivierter Impfstoff (Shingrix, GlaxoSmithKline Biologicals SA) zur Vorbeugung von Herpes Zoster (HZ, Gürtelrose) und postherpetischer Neuralgie bei Personen ab 50 Jahren auf dem deutschen Markt zur Verfügung. | Gemäß Empfehlung der STIKO [Ständige Impfkommission] muss zwischen COVID-19-Impfungen und der Verabreichung anderer Totimpfstoffe kein Impfabstand mehr eingehalten werden.
emissione sopra la pari;Überpari-Emission;Se il prezzo è 102 (a causa della forte domanda o di altri fattori) parleremo di emissione sopra la pari [...].;
sponsor;Sponsor;Il termine sponsor designa ogni singolo soggetto che abbia sponsorizzato il programma radiofonico o televisivo.;Bei Sendungen, die ganz oder teilweise gesponsert werden, muß zu Beginn und am Ende auf die Finanzierung durch den Sponsor in vertretbarer Kürze deutlich hingewiesen werden [...].
accertamento della verità;Wahrheitserforschung;Il fine del processo è sempre e comunque l'accertamento della verità (sostanziale e non meramente processuale).;Das Gericht hat zur Erforschung der Wahrheit die Beweisaufnahme von Amts wegen auf alle Tatsachen und Beweismittel zu erstrecken, die für die Entscheidung von Bedeutung sind. | Zwar hat der Bundesgerichtshof bei einer lediglich mangelhaften Begründung für die Entfernung des Angeklagten aus dem Sitzungssaal eine Revisionsrüge [..] nicht durchgreifen lassen, [..]. Aber zum einen liegt hier weder eine Gefährdung der Wahrheitsfindung noch eine Gesundheitsgefahr für die Zeugin klar auf der Hand. | Der Anspruch des Angeklagten auf ein faires Verfahren kann durch verfahrensrechtliche Gestaltungen berührt werden, die der Ermittlung der Wahrheit und somit einem gerechten Urteil entgegenstehen [..]. | Die wegen der Kollision grundrechtlich geschützter Interessen erforderliche Abwägung ergibt, daß das Gebot der Wahrheitserforschung gegenüber dem durch Art. 6 des Grundgesetzes geschützten Anwesenheitsrecht des Beistands den Vorrang hat.
progetto di bilancio;Jahresabschlussentwurf;[G]li amministratori delle società redigono un progetto di bilancio e lo comunicano al collegio sindacale [...].;
legge di bilancio;Bundesfinanzgesetz;Peraltro, insieme alla legge di bilancio, viene discusso un altro documento, chiamato «legge finanziaria» [...].;Der Entwurf des Haushaltsplans und Haushaltsgesetzes wird vom Finanzministerium erstellt und von der Bundesregierung beraten und beschlossen. Danach muss er den Bundestag und Bundesrat durchlaufen, um in Kraft treten zu können. Im Bundestag wird der Entwurf debattiert und in der Regel überarbeitet. Da der Bundestag laut Grundgesetz das Budgetrecht hat, kann der Entwurf nur mit der Mehrheit des Parlaments zum Gesetz werden.
obbligo di salvataggio;Schadenminderungspflicht;L'assicurato che dolosamente non adempie l'obbligo dell'avviso o del salvataggio perde il diritto all'indennità.;
azionista di minoranza;Minderheitsaktionär;Oltre che agli amministratori, l'iniziativa della convocazione è riconosciuta agli azionisti di minoranza [...].;Dagegen sucht der Anlageaktionär eine - möglicherweise langfristige - Kapitalanlage, die regelmäßig Gewinn abwirft und zudem Wertbeständigkeit oder Wertsteigerungen mit sich bringt. | [...] Abfindungs- und Umtauschangebote an Minderheitsaktionäre von Tochtergesellschaften können den Wert des Umtauschrechts einer Wandelanleihe mindern [...].
adottando;zukünftig Adoptivkind;L’età degli adottanti deve superare di almeno diciotto e di non più di quarantacinque anni l’età dell’adottando.;Die Annahme darf nicht ausgesprochen werden, wenn ihr überwiegende Interessen der Kinder des Annehmenden oder des Anzunehmenden entgegenstehen. | Ist das anzunehmende Kind verheiratet, so wird auch die Einwilligung seines Ehegatten erfordert.
condizioni aggiuntive;Zusatzbedingung;A seconda della professione sono previste condizioni aggiuntive specifiche e personalizzate all'attività svolta.;
libretto nominativo;Sparbuch als Namenspapier;Se il libretto è nominativo, il solo soggetto che vi è intestato può compiere operazioni di esazioni di credito.;
consultazione pubblica;öffentlich Konsultation;Lo schema di provvedimento è sottoposto a consultazione pubblica per un periodo non inferiore a sessanta giorni.;Die Europäische Kommission führt derzeit eine öffentliche Konsultation zu den Rechtsvorschriften der Europäischen Union über die legale Migration von Nicht-EU-Bürgern durch.
estensione analogica;Ausdehnung der Norm in Weg der Analogie;L'estensione analogica di una norma che ridondi a danno dell'imputato [...] non è consentita nel nostro diritto.;
attività di controllo;Überprüfung;L'attività di consulenza non può essere prestata dai soggetti che svolgono attività di controllo e di vigilanza.;Alle Personen, die im Rahmen des für Versicherungsvermittler und Versicherungsberater geltenden Registrierungsverfahrens oder der Überprüfung der Einhaltung der Voraussetzungen für die Tätigkeit als Versicherungsvermittler oder Versicherungsberater zur Entgegennahme oder Erteilung von Informationen verpflichtet sind, unterliegen dem Berufsgeheimnis.
matrimonio del cittadino all'estero;Heirat in Ausland;[I]l matrimonio all'estero può essere inoltre celebrato innanzi all'autorità diplomatica o consolare competente.;Hat eine Hinterbliebene ihren Wohnsitz zum Zwecke der Eheschließung im Ausland begründet, so wird für die Gewährung der Abfindung nach § 44 des Bundesversorgungsgesetzes eine Zuständigkeit nach § 1 nur begründet, wenn zugleich der Wohnsitz versorgungsberechtigter Waisen in den gleichen Staat verlegt worden ist.
adozione;Annahme an Kind Statt;L'adozione è consentita a favore dei minori dichiarati in stato di adottabilità ai sensi degli articoli seguenti.;Die soziale Bedeutung der Adoption [...] liegt heute vor allem in der Fürsorge für Kinder, deren Eltern sich nicht um sie kümmern können oder wollen. Sie sollen durch die Annahme als Kind [...] in einer lebenstüchtigen Familie aufwachsen.
conduttore di protezione;Schutzleiter;Un’interruzione del conduttore di protezione fa permanere in tensione la massa del componente elettrico guasto[.];Für Schweißstromquellen ist eine Ausführung in der Schutzklasse I (mit Schutzleiter) oder in Schutzklasse II (Schutzisolierung ohne Schutzleiter) geeignet.
presidente del consiglio di amministrazione;Vorstandsvorsitzender;Il consiglio di amministrazione sceglie tra i suoi membri il presidente, se questi non è nominato dall'assemblea.;Werden mehrere Personen zu Vorstandmitgliedern bestellt, so kann der Aufsichtsrat ein Mitglied zum Vorsitzenden des Vorstands ernennen.
querela;Strafantrag;Se si tratta di delitto punibile a querela della persona offesa, occorre, oltre tale richiesta, anche la querela.;Handelt es sich bei einer Anzeige (im engen Sinne) lediglich um eine Anregung an die Strafverfolgungsorgane, die ggf. den Verfolgungszwang auslöst, wird mit dem Strafantrag darüber hinaus ein Interesse an der Strafverfolgung geäußert.
anticipato;Begünstigt ein Zwischenkredit;[L']anticipato fornisce alla banca finanziatrice (anticipante) una garanzia reale con pegno su merci o su titoli.;
personalità del reo;Persönlichkeit der Täter;La personalità del reo acquista notevole importanza anche per quanto riguarda la misura della pena (graduazione).;Eine Freiheitsstrafe unter sechs Monaten verhängt das Gericht nur, wenn besondere Umstände, die in der Tat oder der Persönlichkeit des Täters liegen, die Verhängung einer Freiheitsstrafe zur Einwirkung auf den Täter oder zur Verteidigung der Rechtsordnung unerläßlich machen.
radiazione corpuscolare;Teilchenstrahlung;Le radiazioni corpuscolari (Alfa e Beta) sono poco penetranti e vengono assorbite da strati sottili di materiale.;Zu den ionisierenden Strahlen zählt man sowohl elektromagnetische Strahlen - wie Röntgen- und Gammastrahlung – als auch Teilchenstrahlung - wie Alpha-, Beta- und Neutronenstrahlung.
rettifica di valore;Wertberichtigung;È consentito effettuare rettifiche di valore e accantonamenti esclusivamente in applicazione di norme tributarie.;Seit Inkrafttreten des HGB 1985 dürfen Wertberichtigungen zumindest bei Kapitalgesellschaften nicht mehr in der Bilanz ausgewiesen werden [...]. Allerdings können Abwertungen auf den niedriegeren Wert, der auf einer nur steuerrechtlich zulässigen Abschreibung beruht (§ 254 HGB), wahlweise in der Form der passivischen Wertberichtigung vorgenommen werden.
quota di conferimento;Anteil an der Einlage;Se la quota di conferimento è superiore al minimo, deve essere costituita da un ammontare multiplo di lire mille.;
fede di deposito;Lagerempfanggschein;I magazzini generali, a richiesta del depositante, devono rilasciare una fede di deposito delle merci depositate.;"Über die Verpflichtung zur Auslieferung des Gutes kann von dem Lagerhalter [...] ein Lagerschein ausgestellt werden, der die folgenden Angaben enthalten soll: Ort und Tag der Ausstellung des Lagerscheins; Name und Anschrift des Einlagerers; Name und Anschrift des Lagerhalters [...]."
